,artist,song,lyric
0,Future,Osama (O’s),I ride with dope like it's legal
1,Future,Coupe,This my environment
2,Future,Substitute Everything,I'm tryna substitute everything
3,Future,Straight Up,"Throw some red bottoms, Jimmy Choos be all you wearing"
4,Future,Never Satisfied (Original Version),"Ain't no pressure on the money, Lord knows"
5,Future,Future Speaks (Interlude),"What up, it's the astronaut kid, the designer kid"
6,Future,Parachute,You got me wishing I speak Spanish
7,Future,WIFI LIT,That's an assist (that's an assist)
8,Future,How It Feel,Ask me how it feel when you smashin' all this G shit
9,Future,Word To My Muva,Word to my muva
10,Future,Watch This,"Man, watch this"
11,Future,Im Good,"The ‘hood treat me good, the streets, they treat me good"
12,Future,Brain On Drugz,"It's hard to keep it low key , when you smell like a whole P"
13,Future,The Percocet & Stripper Joint,"I stay on Miley Cyrus, everywhere I go I'm screwed up"
14,Future,Notice Me,"Dropping 80 bands on a piece, so you can notice me"
15,Future,Rent Money,I got scammers and junkies lined up on each side
16,Future,Take This 4 Granted,Ya see know no englo from here to Rio
17,Future,DOH DOH,Cha-po
18,Future,Lay Up,I fuck that pussy on the regular (Savage)
19,Future,Fettuccine,"I got that fettuccine on me, I got that fettuccine"
20,Future,Sorry,Ain't really tryna
21,Future,Neglected,"'Cause I got rich with no direction (Got rich, yeah, ayy)"
22,Future,Look Ahead,"Walk and say when I walk, it look like a nigga flyin'"
23,Future,Perkys Calling,Drove a stolen car and now my car a push start
24,Future,Low Life,"Low life, low life, low life, low life (I'm representin' for that low life, for the low life)"
25,Future,Ain’t Mean To Hurt You,I ain’t mean to hurt you babe
26,Future,Super Trapper,"Came from out the Kirk, made myself a don"
27,Future,T-Shirt,You woke up feelin' way better
28,Future,I Thank U,'Cause you made me hustle
29,Future,Too Comfortable,Better not get too comfortable
30,Future,In Abundance,Percocets and Zans got my head in the clouds
31,Future,56 Nights,I took fifty-six bars all in one month nigga and I'm still dranking
32,Future,Mark McGwire,Who you think you is? Who you think you is? (Turn up)
33,Future,No Wallet,I got way too much money to show it
34,Future,Pesos (Dinero),"I got the pesos, the pesos, dinero"
35,Future,Permanent Scar,"It don’t matter where you go, they say we are who we are"
36,Future,Rider,That's all I wanna know
37,Future,Gone To The Moon,Got (brr) wrap my neck in the cold
38,Future,Dead People,Freebang gang coupled up and ice we winning’
39,Future,All The Time,True Religion Robin Jeans Designer on me all the time
40,Future,Turn on Me,"You know I'm with the shits, shit get way too real"
41,Future,Talk Shit Like a Preacher,Made the car go skrrt (Skrrt)
42,Future,Club On Smash,"Got the club on smash, Got the club on smash"
43,Future,Bitches Ain’t Shit,"You another nigga problem, I'm glad you ain't mine"
44,Future,56 Nights,I've been working some years for this
45,Future,Purple Love (Inspiration),Nobody but us
46,Future,Fuck You Gone Tell,And when you came from the gutter it ain’t nothing you can tell us
47,Future,Forever Eva,"Forever ever, ever, ever"
48,Future,2Pac,"My lil' cousin duckin' feds, ridin' with two choppers (Skrrt)"
49,Future,Brinks Truck,Those road memories feel like torture
50,Future,Coming Home,"Know you love, know you love, love me (Yeah)"
51,Future,We Made Our Own,Fuck these niggas they ain't ballin'
52,Future,Old Hundreds,"Get Franks, got Macs, wanna play? We ready"
53,Future,Boss Up*,"That 'lil bitty watch cost 'nun (Whew, whew)"
54,Future,Drippin (How U Luv That),"Like to drip, they like to drip"
55,Future,FREEBANDZ RADIO Episode 2 Tracklist,DJ Esco Set
56,Future,56 Nights,"Real street nigga, you know that"
57,Future,Servin Killa Kam,"Christian Louboutin, blood on the floor (Floor, floor)"
58,Future,Permanent Scar,"You as cold in your heart, you as cold as your heart"
59,Future,All Right,I can feel the pain of my enemy
60,Future,Directional,When will I (When will I)
61,Future,Fly Shit Only,I made me a Porsche out of two and a quarter
62,Future,Servin Killa Kam,"Maserati truck on Tuesday, better keep up, don't lose me"
63,Future,Kno the Meaning,"I just had my baby, gotta go on tour (fuck that shit)"
64,Future,Neva End,Cause we became the best of friends
65,Future,Too Comfortable,"Got a cup full of mud and I'm draped in Celine, yeah"
66,Future,Nothing Is Promised (Reference Track),"While y'all countin' these hunnids, I'm holding back tears"
67,Future,Magic (Promo Only Clean Edit),Fishtailin' out the parkin' lot
68,Future,Jordan Diddy,(Turn up)
69,Future,Government Official,"Had to treat her like the Coast Guard, had to save a broad (Oh yeah, yeah)"
70,Future,No Shame,Dirty cup romance
71,Future,Peacoat,Codeine comin' out my bladder (Oh)
72,Future,All The Time,"You just start getting money, we been get money all the time"
73,Future,Rocket Ship,"Call your ho up, she take all the dick, yeah"
74,Future,My Savages,"Even if he got a billion dollars, he can't make her cum like me"
75,Future,News or Something,Hope you wouldn't turn your back on your family
76,Future,Incredible,"Put it on, fuck the cost"
77,Future,I Can’t Believe,"I’m moving on, I’m moving on"
78,Future,Codeine Crazy,I just took a bitch to eat at Chipotle
79,Future,Gangland,"We runnin' that pack through Chi-Town, Memphis"
80,Future,Permanent Scar,Wouldn’t believe the half of me
81,Future,Codeine Crazy,Take it back and take a look at yourself
82,Future,Rings On Me,"Ain't smoking no back with you, I turn my back on you (Yeah)"
83,Future,Hater Shit,"Pucci on my bitch, fuck that hating shit"
84,Future,Shotgun,"You wanna slide with me, shotgun (You wanna slide, slide, slide)"
85,Future,Can’t Make This Up,These rappers worser than them few
86,Future,Black Jew,"Go hard (Woo), no flaws (Woo)"
87,Future,Baptiize,"I done told you once before, you gotta say it's spicy"
88,Future,Take You Back,My love
89,Future,Outta Time,Give you motivation at it's finest
90,Future,Abu-True Story Intro,Don’t start that shit Abu
91,Future,Super Trapper,911 Turbo Porsche 'cause I'm a super trapper
92,Future,Run Up,"Gotta keep that hammer on the seat baby (Seat, baby)"
93,Future,Ain’t Mean To Hurt You,I din’t even wanna say bye to you
94,Future,Purple Reign,I just need my girlfriend
95,Future,High Demand,"Stuffed a casket full of faces, got a tombstone for the money (Yah, yah)"
96,Future,Feed Me Dope,"Durdo call me Big Papi, I get big cocky (Brrt)"
97,Future,Cee-Lo,"They ain’t never seen what we did, nigga"
98,Future,How It Was,"I was self motivated, I was self driven"
99,Future,One Helluva Night,I can see this from my window
100,Future,Al Sharpton,"More checks, that's more cheddar"
101,Future,POA,"I need a power of attorney (Hol' up, hol' up)"
102,Future,Forever Eva,They know they should've never doubted me
103,Future,My Wrath,These ain't just bars of stuff I'd like to say
104,Future,First Off (Demo),"I put the Patek water on, but I got options"
105,Future,Fresh for the Love,I be running up to cars
106,Future,So Cold,Smashed her in the studio and kicked her out politely
107,Future,Rider,Would you ride for yo nigga
108,Future,Day One,"I keep my niggas with me, I've been like that from day one"
109,Future,Perkies,"Stuff my blunts, three grams of OG"
110,Future,Damage,"And you know that it's true (Girl, you know it's true)"
111,Future,Perkys Calling,I can hear the Perkies callin'
112,Future,Good Dope,My niggas in jail be stabbin'
113,Future,Posted with Demons,Rockin' tennis chains on you hoes
114,Future,Boss Up*,...
115,Future,Servin Killa Kam,"I was on a yacht on a Tuesday, keep it on God, come Tuesday"
116,Future,Swap It Out,Swapped out the recipe
117,Future,Show Money,I just topped the charts and I’m still duckin’ narcs
118,Future,Touch the Sky,"Got the 'Rari outside, got the Maybach outside, no lie, no lie"
119,Future,Made Myself a Boss,"I don't wanna drive it, got he stack put up"
120,Future,Nobody Knows My Struggle,"I got money, I got power, heard your daddy was on that powder"
121,Future,Never Been This High,"It’s like my body made of diamonds, I can’t stop shinin’"
122,Future,Draco,You ain't never ever get your bitch back (You)
123,Future,Too Comfortable,They was thinkin' that it couldn't be done
124,Future,Break the Rules,Break the rules
125,Future,First Off,"(To these racks, way up, way up)"
126,Future,Gettin’ It In,I'm ridin in something forin
127,Future,Intro,Money on me
128,Future,Ain’t Neva Seen,But I got lama and it make me hungry
129,Future,Showed Up,"I just, I just bought my bitch a new Celine (Fur)"
130,Future,Good Morning,Million dollar 
131,Future,On 2 Us,I think they on to us
132,Future,Directional,"No, don't play a joke on me"
133,Future,Wesley Presley,"Gotta pimp it on 'em, nigga, Port Arthur"
134,Future,That’s a Check,This bad Ethiopian gave me Becky (I swear to god)
135,Future,Usual,I'm so high right now I can't feel my feet
136,Future,Go Harder,You can catch me flyin by
137,Future,Rent Money,"Yo, what's going on E"
138,Future,Smacked Silly (Rack City Freestyle),To all my niggas listenin' I know ya fuckin' sees me
139,Future,Run Up,"Get a lotta money, put your main bitch on your sideline"
140,Future,Extra Luv,"I just really need some time, baby"
141,Future,No Wallet,I'm just taking the poison and I know it
142,Future,Touch the Sky,"I just been sippin', I'm drippin', I'm spillin', I'm shittin' on everybody"
143,Future,Harlem Shake,"Money, cars, ayy"
144,Future,Walk On Minks,"Gon' head, girl, walk on it"
145,Future,Al Sharpton,Got the white Benz and they think we're servin'
146,Future,Dem,Dem same niggas I grew up with I be clubbing with dem
147,Future,Obama,"You know I hit it, she draped in designer"
148,Future,2Pac,Fut'
149,Future,Damage,Baby momma' back drinking liquor
150,Future,Hard to Choose One,"Trap in the field, made a mll' on my own (Trap in the field)"
151,Future,Neva End,Let’s put the past behind us
152,Future,I Need That (Vice Versa),Yeah yeah and if u tight girl when I pipe ya then I might just hurt ya
153,Future,I Won,Ever since I got with you I feel like I done won me a trophy
154,Future,Faceshot,"Skrrt, skrrt, the pot moonwalkin' (Moonwalkin')"
155,Future,Guap on Me,She know I'm flier than a poster
156,Future,Inside the Mattress,"I'm gettin' better, I'm at practice"
157,Future,Mark McGwire,I took off in a Bentley - and came back in a Spider
158,Future,Good Kush And Alcohol (Love Me Demo),I can give a fuck 'bout no hater
159,Future,Walk On Minks,"This is for the winners, this is for the sinners"
160,Future,Same Damn Time,Bad bitches in the suite tryna bait me
161,Future,Grammys,I don't want features or nothin'
162,Future,Turn On the Lights,Send ‘er my way
163,Future,I Got Yo Bitch,With your bitch turn the corner we at the W I'm putting it on
164,Future,Rehab (Amy Winehouse),I blow kush to clear the stress that’s in my head
165,Future,Intro,FreeBandz with me
166,Future,Smacked Silly (Rack City Freestyle),Then I give em food and and cab and kick they ass out...
167,Future,Gettin’ It In,"I done it first, before you were even in"
168,Future,Move That Dope (Radio Edit),Young nigga move that dope
169,Future,Real Sisters,Paying attorney fees with that Godzilla (Swear)
170,Future,Take You Back,"But I'll take you back, I'll take you back"
171,Future,So Cold,Old school Corvette '65 pace car
172,Future,Lil Haiti Baby,"Shoot in broad day, shoot in broad day"
173,Future,Sh!t (Megamix),"Talkin' 'bout you poppin' tags (Shit!), nigga, you ain't bought shit (Shit!)"
174,Future,"Blood, Sweat, Tears","How the fuck you get my number? Hungry ass baby, karma"
175,Future,Thought It Was a Drought (Clean),"(Young Metro, Young Metro, Young Metro"
176,Future,Feeling I Get,When I'm standin front the center
177,Future,DOH DOH,"Lift the AK up, swangin' door, door, doors"
178,Future,Road to Riches,On the road to riches
179,Future,Might as Well,These niggas got no dripping
180,Future,Gone To The Moon,Solitary's twinkle (whoa)
181,Future,POA,"Rovers (Woah), Porsches (Porsches)"
182,Future,Feeling I Get,St. Louis tell me what would I do without you
183,Future,Hater Shit,"Little niggas see the dirt, fucking with that hating shit"
184,Future,Inside the Mattress,I never told the world about you
185,Future,RACKS BLUE,What I'm supposed to do when these racks blue?
186,Future,Grammys,I'm noddin' off on a Xanax
187,Future,First Off,"The whip's got curtain options in it, I don't need it tinted"
188,Future,Diamonds from Africa,"Hell fuckin' nah, I ain't nervous (Nervous)"
189,Future,Good Dope,My niggas in the streets be shootin'
190,Future,All The Time,"Break the law, fuck the law, 400 hot juvenile"
191,Future,Never Be The Same,Shit'll never be the same no more
192,Future,Friends,"Exotic broads, thats my friends"
193,Future,My Wrath,"Duck tape your flesh up, doggy, and Bible-butt ya"
194,Future,Too Excited,I jumped in that gatti then I pulled out like woo!
195,Future,Future Back,"I hear the streets callin', all the little ghetto children"
196,Future,Baptiize,"You don't wanna get to poppin', you don't wanna start sparkin'"
197,Future,Temptation,"Give you some game, that's slow motivation"
198,Future,Fly Shit Only,We been gone on the molly
199,Future,CUDDLE MY WRIST,"Dr. Miami, the ass fat"
200,Future,Yeah Yeah,"Pop a DVD in, rollin, cruisin'"
201,Future,Slave Master,"I fuck with your hoe, she can get it"
202,Future,Baptiize,"She done been in love before, but I done got her icy"
203,Future,Codeine Crazy,All this motherfucking money got me codeine crazy
204,Future,Wicked,"Wicked, wicked, wicked, wicked"
205,Future,Substitute Everything,Wishin' I could slow down fame
206,Future,No Shame (Demo),"Now it's a new high, I found a new high"
207,Future,Incredible,In-in-incredible
208,Future,Promise U That,"Yeah, yeah, yeah"
209,Future,Power Of That P,"I piss on yo bitch, yeah right after I lay the pipe"
210,Future,600 Days No Sleep,"Porsche got horses, like the Django, uh"
211,Future,Never Been This High,And I always got the pretty girls
212,Future,Word To My Muva,Future Frank White mad love go to New York
213,Future,Might as Well,"Olajuwon, Hakeem (Facts)"
214,Future,Too Faded,"What a good time, feeling certified"
215,Future,Unicorn Purp,"I spent twenty G's just on one purse, I’m gettin' at that llama (And that's on God)"
216,Future,APE Freestyle,"I do this for young Rico, gon' spray you in broad day (blatt blatt)"
217,Future,Rent Money,"They got me goin' insane, now it's fuck you"
218,Future,Hardly,"I'm easily agitated, get intoxicated tryna fight the demons"
219,Future,Eat Dat Up,"Hellcat or Turbo Porsche, eat that up  (Woah-woah)"
220,Future,Look Ahead,"We go, go, go"
221,Future,Watch This,"Watch me walk in the club, watch how crazy it get"
222,Future,Easter Pink,Winnin' wit' the green way before Charlie sheen
223,Future,I’m Trippin’,"Smoked a whole pound of green, I'm trippin'"
224,Future,Road to Riches,Fucking with my sanity
225,Future,Jordan Diddy,Jordan Diddy
226,Future,Truth Gonna Hurt You,And I’m so caught up in my own style
227,Future,Easter Pink,We gon' off the highway call it gasoline
228,Future,Fly Shit Only,Only one who's going out the country
229,Future,Do It To Em,Yeah these hoes adore me
230,Future,Tony Montana (Scarface),I’m coming with a gang of dope
231,Future,Rich $ex,You can keep your Rollie on when I get to it (Come on)
232,Future,Run Up,"Dom Perignon, let the champagne spill (Champagne spill)"
233,Future,Layover,"Baby came over, she a new vibe"
234,Future,Pray for a Key,And I done spent countless nights workin' inside the kitchen
235,Future,CUDDLE MY WRIST,"VV coated, sitting on my chest"
236,Future,Fuck You Mean (Night Vision Ep. 1),"Rob coke, you can't have it, gotta re-rock, little daddy"
237,Future,Straight Up,"Fuck the dress code, nigga it ain't no comparing"
238,Future,In Abundance,"Do it how you want it, just do it ain't no frontin'"
239,Future,Walk On Minks,You can walk on minks now (Ya)
240,Future,Benz Friendz (Whatchutola),Conversated with a lady goin' Lambo crazy
241,Future,Never Satisfied (Original Version),"And we ain't ever satisfied (Ayy, they ain't ever satisfied)"
242,Future,Paparazzi (Dab),"100 times, dab, 100 times, dab"
243,Future,After That,I make them old head niggas go get they plug back
244,Future,Rings On Me,"My cars and my thots, international"
245,Future,Side Effects,"If I die today, it's yours, if you want it all I give it to you"
246,Future,Goin Dummi,Last name Hndrxx whatever I do
247,Future,Whole Lotta Racks,"I hit your hoe from the back, uh"
248,Future,Whip Game,Got the whip game sewed up
249,Future,Mind Blown,"That money got my mind blown, money got my mind blown"
250,Future,Obama,You gon’ be workin’ your whole career
251,Future,St. Lucia,"I ran a check through a money machine, then I seduced her (Brrt, Freebandz)"
252,Future,56 Nights,Hanging out with some crack babies
253,Future,On Purpose,I pull it out the garage and I'm goin' bonkers (I'm goin' bonkers)
254,Future,Draco,Styrofoam cups servin' patients (Woo)
255,Future,Lookin Exotic,"Peel you off a couple bands, girl like, ""here you go"""
256,Future,I Be U,"But I'll be, I said I'll be there"
257,Future,Just Because,"Yeah, yeah, I got my señorita flexin'"
258,Future,Oxy,I’ma try the Oxy
